Database: mbFirstStudy
Exercise: 6
Age classes: [2,11], [12,21], [22,31], [32,41], [42,51], [52,61], [62,71], [72,81], 
Gender: -
Dominant hand: -
Session hand: -

userID;gender;dominantHand;age
MB_SA_18_406bf9ad;0c4a51615bdb97b536aa38b3023c0564;3;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.541843;0.9666666;18
MB_AP_11_3bbc7543;0c5e01d5b573b5d4282e050cc4bc6950;1;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.5884285;0.7625;16
MB_AP_11_3bbc7543;0c5e01d5b573b5d4282e050cc4bc6950;2;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.6866412;0.8285714;14
MB_AP_11_3bbc7543;0c5e01d5b573b5d4282e050cc4bc6950;3;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.6529785;0.92;15
MB_SA_07_0042352e;0c6f14bf0628919633909c6f75da2119;1;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.4999743;0.6947368;19
MB_SA_07_0042352e;0c6f14bf0628919633909c6f75da2119;2;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.502843;0.8105263;19
MB_SA_07_0042352e;0c6f14bf0628919633909c6f75da2119;3;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.4786713;0.94;20
MB_AC_17_db66bc30;0d156122773f592afb48bc899e28fa9e;1;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.5096082;0.968421;19
MB_AC_17_db66bc30;0d156122773f592afb48bc899e28fa9e;2;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.5006843;0.9368421;19
MB_AC_17_db66bc30;0d156122773f592afb48bc899e28fa9e;3;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4722842;0.9142857;21
MB_AC_11_96763d6f;0d2eedf80f69ab2732345dac7dfc2494;1;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;2.118958;0.65;4
MB_AC_11_96763d6f;0d2eedf80f69ab2732345dac7dfc2494;2;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;1.516357;0.76;5
MB_AC_11_96763d6f;0d2eedf80f69ab2732345dac7dfc2494;3;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;3.041473;0.2;2
MB_AP_08_b293eb9a;0d85d5ddcff1329a55bbab252f7c508f;1;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.4474654;0.6818182;22
